"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0I520","2019-08-27 00:00:00","3860.000","-99.000","-99.000","5.600","0.520","645.000","-99.000","-99.000","-99.000","-99.000","-99.000","11.200","","4.300",""
"C0E530","2019-08-27 00:00:00","341.000","0.000","0.000","24.800","0.960","972.400","-99.000","0.500","-99.000","-99.000","-99.000","30.800","","23.100",""
"C0M790","2019-08-27 00:00:00","15.000","0.000","0.000","27.500","0.860","1007.800","-99.000","18.500","-99.000","-99.000","-99.000","31.500","","25.700",""
"C0R130","2019-08-27 00:00:00","1040.000","260.000","1.000","20.600","0.990","897.100","-99.000","0.000","-99.000","-99.000","-99.000","26.000","","20.600",""
"C0AH30","2019-08-27 00:00:00","755.000","174.000","5.900","23.200","1.000","927.700","-99.000","0.000","-99.000","-99.000","-99.000","28.000","","22.200",""
"C0X170","2019-08-27 00:00:00","50.000","111.000","0.900","27.800","0.870","1004.500","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.600",""
"C0K291","2019-08-27 00:00:00","8.000","0.000","0.000","27.500","0.950","1010.000","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","25.800",""
"C0D480","2019-08-27 00:00:00","223.000","0.000","0.000","25.000","0.990","985.000","-99.000","11.000","-99.000","-99.000","-99.000","30.700","","23.800",""
"C0F0C0","2019-08-27 00:00:00","983.000","0.000","0.000","21.200","0.990","904.200","-99.000","2.500","-99.000","-99.000","-99.000","25.600","","20.600",""
"C0U860","2019-08-27 00:00:00","5.000","43.000","0.300","28.000","0.880","1011.300","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","27.100",""
"C0UA50","2019-08-27 00:00:00","808.000","137.000","3.100","21.700","0.990","923.600","-99.000","0.000","-99.000","-99.000","-99.000","28.400","","21.700",""
"C0T960","2019-08-27 00:00:00","120.000","0.000","0.100","25.400","0.990","998.800","-99.000","0.500","-99.000","-99.000","-99.000","33.700","","23.600",""
"C0SA80","2019-08-27 00:00:00","136.000","237.000","0.400","24.700","0.980","996.400","-99.000","2.500","-99.000","-99.000","-99.000","30.900","","24.200",""
"C0E780","2019-08-27 00:00:00","160.000","0.000","0.000","26.500","0.900","992.600","-99.000","0.500","-99.000","-99.000","-99.000","33.400","","24.500",""
"C0F9Q0","2019-08-27 00:00:00","149.000","128.000","1.300","26.800","0.980","993.100","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","25.200",""
"C0F9X0","2019-08-27 00:00:00","166.000","151.000","1.100","27.600","0.900","992.500","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","25.800",""
"C0F0D0","2019-08-27 00:00:00","3171.000","124.000","2.400","10.500","0.570","701.200","-99.000","0.000","-99.000","-99.000","-99.000","18.100","","8.300",""
"C0S730","2019-08-27 00:00:00","110.000","65.000","3.200","26.400","0.930","999.500","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","26.300",""
"C0T790","2019-08-27 00:00:00","2830.000","120.000","1.800","9.200","1.000","730.300","-99.000","0.000","-99.000","-99.000","-99.000","20.400","","9.100",""
"C0M830","2019-08-27 00:00:00","540.000","0.000","0.000","24.000","0.990","952.600","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","20.800",""
"C0V750","2019-08-27 00:00:00","50.000","73.000","0.600","28.200","1.000","1006.200","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","28.100",""
"C0K530","2019-08-27 00:00:00","12.000","111.000","0.300","27.900","0.960","1009.200","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","26.400",""
"C0G850","2019-08-27 00:00:00","62.000","223.000","1.400","29.000","0.870","1003.000","-99.000","1.000","-99.000","-99.000","-99.000","33.900","","26.500",""
"C0M780","2019-08-27 00:00:00","30.000","115.000","0.300","27.000","0.940","1007.600","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","26.000",""
"C0K510","2019-08-27 00:00:00","10.000","0.000","0.000","27.800","0.910","1008.700","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","26.600",""
"C0R380","2019-08-27 00:00:00","2.000","94.000","0.800","25.300","-99.000","1010.500","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","25.300",""
"C0D650","2019-08-27 00:00:00","97.000","0.000","0.000","27.300","0.880","999.800","-99.000","2.500","-99.000","-99.000","-99.000","30.700","","26.700",""
"C0V630","2019-08-27 00:00:00","19.000","0.000","0.100","28.100","0.890","1010.800","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","27.900",""
"C0U910","2019-08-27 00:00:00","17.000","187.000","0.600","27.300","0.870","1009.700","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","26.300",""
"C0U600","2019-08-27 00:00:00","10.000","63.000","1.300","28.000","0.900","1010.400","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","26.000",""
